Validation Error	Training Error	
 9.0850e-01	 9.7655e-01	
 7.4558e-01	 8.4121e-01	
 6.5062e-01	 7.2532e-01	
 5.8309e-01	 6.5215e-01	
 5.3208e-01	 6.0275e-01	
 4.9232e-01	 5.6709e-01	
 4.6973e-01	 5.3958e-01	
 4.4269e-01	 5.1832e-01	
 4.2953e-01	 5.0029e-01	
 4.0951e-01	 4.8494e-01	
 3.9449e-01	 4.7195e-01	
 3.8419e-01	 4.6142e-01	
 3.6984e-01	 4.5119e-01	
 3.6621e-01	 4.4251e-01	
 3.5228e-01	 4.3555e-01	
 3.4459e-01	 4.2744e-01	
 3.4106e-01	 4.2180e-01	
 3.3675e-01	 4.1463e-01	
 2.2603e-01	 3.2433e-01	
 2.1354e-01	 3.0463e-01	
 2.1257e-01	 2.9594e-01	
 1.9174e-01	 2.9076e-01	
 1.9227e-01	 2.8580e-01	
 1.7242e-01	 2.8123e-01	
 1.7709e-01	 2.7649e-01	
 1.7056e-01	 2.7177e-01	
 1.6751e-01	 2.6673e-01	
 1.6614e-01	 2.6313e-01	
 1.6156e-01	 2.5882e-01	
 5.8163e-02	 1.4234e-01	
 4.5812e-02	 1.1159e-01	
 3.7220e-02	 9.6671e-02	
 3.1527e-02	 8.7045e-02	
 2.7202e-02	 7.9000e-02	
 2.5164e-02	 7.2508e-02	
 2.2002e-02	 6.7502e-02	
 2.0727e-02	 6.2994e-02	
 1.8568e-02	 5.8575e-02	
 1.6614e-02	 5.5091e-02	
 1.6363e-02	 5.2712e-02	
 1.5765e-02	 4.9400e-02	
 1.4687e-02	 4.7598e-02	
 1.4023e-02	 4.5005e-02	
 1.0406e-02	 3.5698e-02	
 9.7265e-03	 3.2983e-02	
 9.2982e-03	 3.0997e-02	
 8.9185e-03	 2.9882e-02	
 9.2258e-03	 2.8582e-02	
 8.5174e-03	 2.7668e-02	
 8.4759e-03	 2.6808e-02	
 8.2991e-03	 2.5757e-02	
 8.2113e-03	 2.5051e-02	
 7.0864e-03	 2.1209e-02	
 6.9345e-03	 2.0133e-02	
 6.8324e-03	 1.9688e-02	
 6.7648e-03	 1.9317e-02	
 6.6983e-03	 1.8997e-02	
 6.6556e-03	 1.8729e-02	
 6.5488e-03	 1.8575e-02	
 6.5215e-03	 1.8245e-02	
 6.4883e-03	 1.8103e-02	
 6.4456e-03	 1.7991e-02	
 6.4622e-03	 1.7886e-02	
 6.3863e-03	 1.7517e-02	
 6.3720e-03	 1.7502e-02	
 6.3127e-03	 1.7016e-02	
 6.2973e-03	 1.7112e-02	
 6.2617e-03	 1.6691e-02	
 6.1905e-03	 1.6878e-02	
 6.1727e-03	 1.6591e-02	
